#{"t_start": 1669119903.5437973, "env_id": null}
r,l,t
0,305,3.111256
0,724,8.664139
0.006161,139,10.055625
0.845523,338,12.873867
0.001092,67,13.721759
0,54,14.48132
0.406457,602,19.006279
0.001966,50,19.765942
0.606802,1001,27.433795
0,456,30.930934
1.126495,442,35.497282
1.448915,253,37.677917
0.937707,1001,44.94708
0,52,45.733413
0.455432,155,47.303832
0.002892,731,53.035483
0.170804,1001,60.409726
8.067731,1001,68.861387
0.002061,570,73.474245
2.061784,1001,81.010869
0.010077,1001,89.570893
0.018802,242,91.790019
0.766351,973,100.793511
0.908741,488,106.436342
0.000605,591,110.922533
0,1001,118.753814
0.005562,59,119.766489
0,44,120.567012
0.003729,50,121.368449
0.005101,772,136.100069
0.001445,51,137.737501
1.526518,402,146.82238
0.352886,1001,170.30202
0.751133,567,176.947839
0,388,180.255347
0.375073,1001,188.57397
0.003034,52,189.37789
2.38761,566,193.953181
0.000648,129,195.268347
0.00784,412,198.38497
0.006067,57,199.161032
0.009354,73,200.06027
0,55,200.858952
2.000242,1001,209.750146
0.080914,109,210.969706
0.010009,58,211.820256
0,1001,219.07914
0,59,219.897872
0.003936,1001,227.248349
0.009457,73,228.140615
0,57,228.895859
0.008934,47,229.579062
5.265947,1001,236.893046
0,59,237.727759
0,245,240.784091
0.005419,58,241.596083
0.005074,50,242.342917
4.337242,1001,249.635581
0.001531,348,252.484156
0.004077,1001,259.754108
0.010306,253,261.834175
0.400856,1001,269.257017
0.029877,297,271.780185
0.004077,207,274.564102
7.101344,1001,282.057925
0,940,289.347885
0.039919,140,290.726455
0.01034,139,292.082039
0.687818,1001,299.201337
0.012792,66,300.012404
1.160865,1001,308.307994
0.376918,1001,315.656292
0.386176,468,319.240683
0.238593,714,324.630271
2.240966,1001,331.681663
0,1001,339.607931
0,772,345.385783
0,57,346.152918
0,454,349.580717
0.121372,1001,356.611548
8.547107,1001,363.60435
2.950933,650,369.462547
0,94,370.45679
0.6134,1001,377.742309
0.137103,152,379.235484
0.008314,59,380.051823
0,134,381.390188
0,689,386.783674
0.046027,121,388.076642
4.5622,1001,395.862722
3.223277,1001,404.659043
2.245972,655,409.789056
1.329438,494,413.826603
0.307313,169,415.487309
0.01217,71,416.552417
0.090281,274,418.941999
1.838345,524,423.143748
0.350079,368,426.341054
0.008257,58,427.175328
2.082148,1001,435.270417
0,86,437.607621
2.906141,1001,445.510122
2.009896,828,451.999125
2.305925,340,454.865874
3.112216,1001,462.612303
2.183449,1001,471.417804
1.368278,964,479.38701
8.208116,1001,491.977228
1.776612,710,498.559013
7.975399,1001,507.171527
0.151915,433,512.692065
3.865538,1001,522.277466
0.007597,67,523.456187
0.795823,1001,533.063226
2.886321,446,537.584576
6.61232,1001,547.454668
3.812655,1001,557.261379
0,55,558.144099
6.327415,1001,566.615488
1.747537,1001,574.882287
0.53973,443,578.702866
12.649892,1001,586.517129
8.517307,1001,595.149796
5.502715,1001,602.922382
3.415131,1001,610.747512
3.81265,885,617.911658
0.00038,1001,627.063033
5.161571,1001,635.798522
0.031861,1001,644.483703
1.210558,481,649.96558
0.009181,54,650.733089
0.204274,128,651.97035
0.008147,80,652.88483
0.129124,231,654.779663
0.007016,43,655.41679
1.959915,1001,663.295568
3.924185,1001,670.893967
11.448176,1001,678.711477
0,1001,686.436481
0.088728,922,695.252471
2.043462,1001,702.294708
0.008874,137,703.599607
3.162752,1001,711.000715
1.5019,1001,718.472694
2.949716,1001,726.446595
2.064592,1001,734.158799
5.815545,1001,742.639959
7.107742,1001,750.315028
5.677366,661,756.543239
2.648247,1001,764.264875
1.169466,657,769.168631
1.405316,539,773.34829
5.925054,1001,780.91176
0.970626,1001,789.878751
1.859908,1001,797.222929
7.618228,1001,804.625818
3.131455,1001,811.950562
0.516264,848,818.178349
4.6414,1001,826.317204
0.003627,61,827.137341
13.585544,1001,834.274803
2.131339,1001,841.441109
10.802113,1001,848.510536
18.571714,1001,856.536132
0.451763,347,859.23526
1.251583,1001,866.471396
2.020922,1001,873.655773
1.898133,1001,881.712952
12.599154,1001,888.79159
5.753562,1001,895.85305
2.536214,1001,903.10665
3.270126,1001,911.14312
0.832423,690,916.147041
2.49688,1001,923.382289
0.004208,1001,930.572782
0.094748,339,933.263105
2.086475,1001,941.237564
3.543523,1001,948.295077
0.568929,1001,955.3471
8.497984,1001,962.412798
6.27121,407,965.502964
1.716001,1001,973.417115
7.739401,1001,980.440326
2.597307,1001,987.742048
5.521586,1001,994.855165
2.537693,427,997.97977
2.541094,1001,1006.054308
4.082893,379,1008.993033
9.93034,1001,1016.739453
3.810762,1001,1024.491715
3.525721,401,1027.853628
4.665558,1001,1035.990082
5.913782,1001,1043.156946
4.84022,323,1045.741239
6.028535,1001,1053.011533
0.868964,263,1055.108678
2.688146,466,1058.558917
1.336209,1001,1066.629941
0,67,1067.465441
2.322031,1001,1074.743314
7.858405,1001,1081.987915
3.339541,1001,1089.531515
3.116528,1001,1098.275315
6.299314,1001,1105.668998
19.959511,1001,1113.039384
1.685552,680,1118.244809
3.882521,1001,1125.959255
11.401512,1001,1134.476321
16.972004,1001,1142.12488
5.924501,1001,1149.994141
2.122806,1001,1158.427024
13.3882,1001,1167.095843
14.648109,1001,1174.338947
0,80,1175.240497
19.925735,1001,1182.37432
5.862441,1001,1189.709363
7.831908,1001,1198.204921
5.600274,1001,1205.794965
14.874525,1001,1213.460208
8.862247,1001,1220.808299
5.165331,1001,1229.472984
13.243667,1001,1236.838769
8.061861,1001,1244.724602
13.90031,1001,1252.26258
7.549242,1001,1260.829414
6.094074,1001,1268.362952
8.075227,1001,1275.801859
17.590869,1001,1283.166577
7.057618,1001,1291.448983
10.262008,1001,1298.936901
18.549774,1001,1306.379038
19.26884,1001,1313.697301
20.106736,1001,1321.68236
15.761231,1001,1329.399276
16.460027,1001,1336.820265
8.23781,1001,1344.156595
19.253536,1001,1352.264385
16.041547,1001,1359.592977
15.332628,1001,1366.75977
15.178783,1001,1373.869267
18.325003,1001,1382.0034
16.258822,1001,1389.350068
15.449973,1001,1396.567636
1.561701,220,1398.544505
15.301329,1001,1405.70773
19.776351,1001,1414.713409
11.886495,1001,1424.838879
17.944016,1001,1436.842696
12.304566,1001,1445.200849
26.218593,1001,1454.3801
21.04138,1001,1462.768098
14.074332,1001,1470.641683
23.074686,1001,1478.694542
15.650561,1001,1490.274848
22.199594,1001,1499.685353
20.128281,1001,1508.335763
21.047582,1001,1516.141015
0.009631,232,1518.327904
18.386074,1001,1527.389182
0.006614,114,1528.617298
24.759253,1001,1536.38597
2.912694,250,1538.523199
18.193308,1001,1546.248857
24.626335,1001,1553.95525
17.807022,1001,1563.123132
19.584392,1001,1572.606601
21.220703,1001,1581.584551
18.284366,1001,1590.563534
14.008082,1001,1601.509695
18.425445,1001,1611.935015
17.709188,1001,1621.496922
21.985256,1001,1629.85576
24.514533,1001,1640.382282
22.725771,1001,1649.881762
26.522456,1001,1661.621852
20.441905,1001,1672.439786
12.479475,1001,1684.264219
18.372545,1001,1694.145935
18.360196,1001,1702.591457
22.46503,1001,1711.602269
21.286061,1001,1721.988241
26.874832,1001,1731.964723
20.868538,1001,1740.71761
21.05255,1001,1749.245394
19.81263,1001,1759.784873
21.027297,1001,1768.885494
19.766476,1001,1779.163982
20.555011,1001,1788.430832
21.147763,1001,1797.911516
18.051928,850,1805.371783
19.33553,1001,1813.802997
18.258699,1001,1822.088275
22.599541,1001,1830.469849
19.455514,1001,1839.471915
23.036147,1001,1846.590774
17.726383,1001,1853.68896
22.471137,1001,1861.070654
23.649225,1001,1869.167161
22.3511,1001,1876.203624
22.943037,1001,1883.236356
23.035216,1001,1890.76655
21.840002,1001,1898.855283
26.014377,1001,1906.382518
24.232587,1001,1913.532698
28.375825,1001,1921.519459
20.895814,963,1929.487283
20.200432,1001,1936.64191
21.655086,1001,1943.746786
25.257079,1001,1950.782771
18.637998,1001,1959.067601
25.195007,1001,1966.501994
23.720589,1001,1974.489408
21.016275,1001,1982.331115
22.976982,1001,1991.374351
22.665911,1001,1998.82006
21.164148,1001,2005.962827
24.200571,1001,2014.05296
22.272574,1001,2022.19975
23.310448,1001,2029.402057
23.314283,1001,2036.538066
27.327707,1001,2043.780822
20.691275,1001,2052.077181
24.583444,1001,2059.164238
27.061374,1001,2066.333099
25.645815,1001,2073.39791
20.774273,1001,2081.608532
25.909991,1001,2089.156879
25.264191,1001,2096.809133
25.760542,1001,2104.551484
25.195717,1001,2112.681589
22.005375,1001,2120.883003
0.192504,101,2121.977479
25.447489,1001,2129.134389
27.011466,1001,2136.302125
22.432494,1001,2143.462731
27.449982,1001,2151.610179
22.854304,1001,2158.848828
23.859264,1001,2166.066134
26.176616,1001,2173.384198
23.842219,1001,2181.63973
26.895963,1001,2188.938459
24.3943,1001,2196.066042
24.984229,1001,2203.185969
23.513637,1001,2211.435829
8.03612,469,2214.947519
26.05293,1001,2222.510344
24.084657,1001,2229.978682
27.336458,1001,2239.00667
24.607936,1001,2246.601079
25.998261,1001,2254.05925
28.617274,1001,2262.136075
28.315952,1001,2270.425594
26.103761,1001,2278.022132
30.849261,1001,2285.305273
25.365116,1001,2292.746683
24.497492,1001,2299.906232
23.475604,1001,2308.050678
28.24485,1001,2315.270581
27.011131,1001,2322.523873
23.991874,1001,2329.664857
25.904569,1001,2337.971387
20.466685,1001,2345.09496
26.498484,1001,2352.515389
26.460229,1001,2359.683343
27.002463,1001,2368.148317
27.049822,1001,2375.729877
24.965372,1001,2383.179154
28.322072,1001,2390.538616
23.32662,1001,2399.224
28.811799,1001,2406.857168
23.859637,1001,2414.607449
28.715867,1001,2422.42261
20.321559,1001,2431.168639
21.967883,1001,2438.837985
29.153136,1001,2446.126841
23.807238,1001,2453.550866
29.209881,1001,2462.04889
28.895473,1001,2470.42033
27.688567,1001,2477.778831
29.356354,1001,2485.503151
26.053877,1001,2498.054626
26.589624,1001,2510.006642
26.145382,1001,2522.705712
25.385005,1001,2534.789271
27.76658,1001,2548.120066
27.95303,1001,2560.13975
1.01585,275,2564.193924
28.712663,1001,2576.026083
25.995112,1001,2587.099009
28.710672,1001,2598.714667
28.799869,1001,2605.970195
30.019397,1001,2613.907969
26.87044,1001,2628.599903
30.71403,1001,2640.558645
27.309521,1001,2649.890754
30.48423,1001,2659.017512
24.269596,1001,2667.712042
29.150497,1001,2677.257112
25.332178,1001,2685.711166
28.533011,1001,2694.11566
24.757072,1001,2702.671564
26.581006,1001,2712.413337
29.03831,1001,2720.878599
28.735291,1001,2729.410636
27.287005,1001,2737.959981
27.758896,1001,2747.371334
26.357497,1001,2755.77155
24.976406,1001,2764.178537
26.750233,1001,2774.748127
29.254888,1001,2782.965615
29.597407,1001,2790.137858
31.89658,1001,2797.160644
30.07559,1001,2804.53763
27.3497,1001,2811.660532
26.771282,1001,2819.964919
28.805243,1001,2827.492263
29.623656,1001,2834.602374
28.175646,1001,2841.690869
30.274025,1001,2850.119242
29.830988,1001,2859.337091
14.96397,591,2865.676347
27.305592,1001,2873.850763
28.276902,1001,2882.018689
30.095496,1001,2889.44513
28.893622,1001,2896.5965
30.475316,1001,2903.65937
30.364957,1001,2911.953943
30.385852,1001,2919.071869
29.391084,1001,2926.292233
27.586429,1001,2933.446065
27.644055,1001,2941.941967
29.731182,1001,2949.490035
29.158888,1001,2956.979809
29.578204,1001,2964.397225
30.193566,1001,2973.136458
29.359613,1001,2980.822013
28.662378,1001,2988.323271
28.460192,1001,2996.46437
30.86691,1001,3005.429377
28.05009,1001,3014.525623
29.467795,1001,3022.734617
28.845066,1001,3030.646202
28.641238,1001,3038.411868
29.408922,1001,3047.060678
29.365075,1001,3054.742557
29.908727,1001,3062.512215
29.435739,1001,3070.099316
25.691955,1001,3079.178935
27.034977,1001,3087.576619
29.932477,1001,3095.610504
30.36945,1001,3103.48709
28.995344,1001,3112.498123
29.038385,1001,3120.397217
24.601744,1001,3128.086434
29.667824,1001,3135.735888
28.250613,1001,3144.550748
2.334444,477,3148.350405
28.124747,1001,3156.061885
29.511734,1001,3163.702323
28.284091,1001,3172.192174
28.49622,1001,3179.919466
27.871649,1001,3187.573714
29.998469,1001,3195.213369
29.646199,1001,3202.964108
28.338518,1001,3211.796477
30.721504,1001,3219.499685
27.582599,1001,3227.169923
29.386103,1001,3234.676039
30.599745,1001,3243.413174
30.00299,1001,3252.702975
30.610556,1001,3260.440685
28.345583,1001,3268.142125
31.224803,1001,3277.088226
30.818189,1001,3284.850825
26.977469,1001,3292.539649
30.878287,1001,3300.531126
31.753499,1001,3315.342882
27.152496,1001,3324.860857
31.518439,1001,3335.219648
30.765638,1001,3347.09884
0.113273,218,3350.106505
28.047384,1001,3362.496158
29.395654,1001,3374.04853
31.290664,1001,3382.628489
31.142649,1001,3391.749715
0.004338,93,3393.023031
31.275855,1001,3402.042924
30.223641,1001,3411.14364
30.234699,1001,3419.794182
0.715763,288,3422.511864
26.151837,1001,3431.054637
30.873793,1001,3439.536393
29.648957,1001,3446.990463
31.853582,1001,3454.418401
22.605523,1001,3462.186764
28.910602,1001,3470.658752
29.831587,1001,3478.226418
31.043688,1001,3485.907559
28.41906,1001,3494.216483
29.717563,1001,3503.750002
29.858478,1001,3512.865401
27.093221,1001,3522.192032
29.721504,1001,3534.738883
31.79763,1001,3545.619131
28.246073,1001,3554.62585
30.411942,1001,3563.826799
31.247409,1001,3575.937567
30.988077,1001,3584.87087
32.026967,1001,3592.444889
30.280645,1001,3600.284724
29.568865,1001,3608.185236
31.696195,1001,3617.17546
29.226105,1001,3626.694586
29.492499,1001,3635.470793
32.17613,1001,3643.628277
29.98701,1001,3652.668578
30.701125,1001,3660.565448
27.577858,1001,3668.816754
31.616967,1001,3677.404946
21.390059,875,3685.594587
0.096211,173,3687.427794
30.596926,1001,3694.972873
30.865588,1001,3702.81154
30.721259,1001,3710.582093
30.878173,1001,3720.857759
31.833465,1001,3728.752227
31.12966,1001,3735.923095
30.566439,1001,3743.334344
30.265736,1001,3751.97875
31.516882,1001,3760.092476
31.21922,1001,3768.727041
31.34814,1001,3776.740261
22.907882,1001,3786.591709
29.625161,1001,3794.875508
