#{"t_start": 1669293086.6805642, "env_id": null}
r,l,t
0.004821,820,6.653277
0.072059,182,8.336361
1.869581,443,11.851656
0.006519,1001,19.56219
3.561506,980,27.196258
1.858317,589,32.130517
0.006416,1001,42.049628
2.032193,995,51.992157
0.004165,576,57.873425
0,53,58.910697
0.168673,398,63.206855
1.952926,438,67.812715
0.007156,117,69.371013
0.147889,1001,80.897199
0.009279,58,81.939939
0.009383,1001,91.873816
0.002693,59,92.914237
0,108,94.479202
0,53,95.499048
0.00328,61,96.594789
0,45,97.558147
1.979764,361,101.361799
0.002689,58,102.4106
0.09591,355,106.62225
1.763771,1001,117.187861
0.005769,74,118.40953
0.001843,153,120.284244
0.004696,52,121.343038
0.007237,56,122.419593
0,51,123.480767
0.216052,875,133.438473
0.309895,217,135.894492
3.433885,425,140.340255
0,59,141.478922
0,70,142.637298
0.152117,410,146.976891
0.555793,586,153.036637
0,49,154.005635
0,453,158.708935
2.323816,897,167.828301
6.472052,965,178.789437
0.006522,269,181.882455
0.003049,502,187.451352
0.001163,61,188.499749
0.005932,72,189.704159
0,52,190.756223
3.776407,519,196.159788
0,69,197.324111
1.588287,366,201.418134
0,224,203.929985
0,52,204.911657
0.005035,1001,215.022922
0,135,216.848547
2.606758,1001,228.019255
0.79793,796,236.079484
0,1001,245.899762
1.59654,448,250.82588
6.514015,1001,262.477285
0.936207,1001,274.261607
0.009186,51,275.29335
0,57,276.395165
0.071646,1001,286.59513
2.66567,1001,297.104368
0.001859,63,298.290151
0,70,299.492309
0.006836,57,300.506601
0,70,301.647656
0.004832,63,302.77019
0,43,303.668821
0.292714,605,311.307434
0,59,312.338561
0.011745,59,313.377838
0,43,314.342939
0,58,315.435255
0.74062,139,317.222751
0.000947,65,318.336107
0.001771,52,319.346868
0.004881,376,323.569605
0.001174,59,324.68254
0.001699,64,325.872188
0.590922,1001,336.32457
0,1001,346.935325
1.345815,900,355.818853
0.01224,61,356.915822
0,57,359.314353
0.002927,78,360.590498
0.009753,65,361.634282
0.607154,391,365.939021
0,68,367.080674
0,71,368.232006
0,52,369.229834
4.858482,755,376.774006
0.20532,557,382.612468
0,51,383.550134
0,209,385.999434
0,72,387.222641
0.558192,434,392.100037
2.817428,1001,401.997301
0,48,402.937855
0.220431,97,404.389392
0.007613,291,408.863168
0,60,410.052774
0.015702,275,413.329872
0,62,414.369002
0.005395,193,416.769024
0.000108,46,417.766653
0.00266,51,418.771813
0,57,419.786497
0.002897,59,420.816145
0.051069,868,429.622835
0.857008,1001,439.540184
0.012405,154,441.46582
0.00805,57,442.472166
0.001482,64,443.555072
1.208846,1001,455.043231
0.005816,587,460.918696
0,372,464.924463
0.240006,550,472.188346
0,58,473.379494
0.264596,1001,484.910905
0,980,494.634627
2.998543,1001,505.838887
3.251323,1001,515.959561
0.007781,52,516.913323
0,55,517.930287
0.002153,56,518.966985
4.196761,1001,528.811084
0,52,529.832764
1.441033,1001,539.731229
0.006422,53,540.749398
5.694086,520,547.634794
0,61,548.697736
4.231247,879,557.562733
0,50,558.589486
0.010188,51,559.621842
4.002242,1001,569.430647
0.003406,64,570.548614
0.082253,1001,580.93143
0.010189,60,582.152373
0.006336,85,583.507672
0.009027,72,584.792235
1.673035,1001,596.110122
0,66,597.247227
2.982215,461,601.987901
0,63,603.286201
0.004347,66,604.396323
2.332175,685,611.37025
1.701377,237,614.273181
0.010014,304,617.701255
0,57,618.771984
0.008206,100,620.24855
0,63,621.395713
