#{"t_start": 1669321952.5620885, "env_id": null}
r,l,t
20.983328,425,3.788394
1.614217,46,4.457865
8.595961,243,6.469017
2.240298,53,7.262555
5.2383,300,9.636764
10.093208,215,11.542969
1.793692,61,12.348352
1.642375,59,13.166875
0.842828,46,13.928229
2.27699,82,14.926272
4.761838,201,16.69848
19.770579,419,22.694406
2.692602,60,24.818084
7.824059,177,29.11919
9.736179,206,33.870644
8.614767,369,41.595307
15.753822,596,53.560295
7.751698,188,57.857609
8.900924,203,62.057486
4.174355,99,63.115565
1.924874,68,64.909558
13.032807,390,68.105843
2.843158,60,68.942543
2.714283,60,69.891507
2.249619,51,70.765769
4.001181,67,71.690929
2.225817,54,72.590871
2.532382,61,73.408002
1.240186,43,74.082362
15.577043,226,76.103379
5.36984,209,77.940544
10.532073,204,79.806726
2.193778,157,81.248566
5.24235,145,82.643183
1.283338,46,83.387869
9.355216,454,86.987464
16.864747,462,90.579165
2.875401,58,91.400828
2.232267,53,92.152725
2.139511,56,92.919003
2.860112,56,93.746308
1.898103,52,94.515567
4.527273,107,95.679013
8.683297,398,98.814869
5.046821,199,100.579156
3.087408,65,101.401997
2.979524,113,102.550879
1.520073,51,103.338255
5.913642,136,104.648261
3.804048,75,106.543575
6.288415,179,108.122874
1.52886,43,108.802393
0.920576,42,109.512398
1.55769,43,110.224246
8.475085,287,112.712808
5.420624,266,114.976916
24.168485,389,118.00123
0.961838,47,118.704938
10.529949,426,122.030834
2.372716,69,122.904698
22.269977,365,125.78903
12.988721,329,128.381255
2.427468,58,129.173831
27.091718,377,132.159487
1.975302,61,132.962743
1.892472,49,133.693531
1.959068,64,134.531217
2.288533,70,135.383391
1.759102,51,136.126959
1.71417,52,136.867998
2.794429,63,137.678697
4.233827,185,139.27808
5.127613,159,140.752262
5.2661,110,141.872673
2.127953,56,142.630584
2.861626,60,143.435127
6.838764,142,144.803052
13.552788,322,148.34875
4.782842,100,149.362408
4.421154,114,150.549342
2.71625,62,151.348795
4.499046,88,152.321927
2.919713,216,154.183715
2.406403,54,155.019033
1.8549,53,155.748134
9.165284,196,157.42229
8.288714,166,158.943783
3.425994,82,159.888276
34.574947,717,165.087883
1.569294,64,165.927034
2.668913,57,166.746183
2.405452,50,167.498756
2.533285,51,168.263337
11.38561,219,170.126704
20.348517,378,173.25541
4.778767,98,174.338211
2.78332,60,175.211843
23.71673,873,182.264353
11.352656,204,184.984525
1.19534,48,185.686905
7.308216,148,187.092144
2.970371,60,187.888825
16.389725,314,190.486301
8.851297,168,191.990487
10.94477,149,193.364852
2.133957,59,194.153656
7.452193,226,196.157573
1.404989,48,196.898591
6.633583,211,198.720557
2.146916,45,199.438287
9.975239,221,201.31865
8.390394,158,202.720358
11.067189,258,204.869464
3.375742,56,205.672455
1.742089,53,206.409285
6.174129,306,208.908071
1.231374,44,209.595191
19.084065,328,212.213442
5.705034,134,213.522278
3.645296,95,214.590293
9.437261,266,216.748989
1.672731,56,217.526633
2.440461,53,218.252476
20.655729,256,220.391935
6.760899,352,224.07823
4.745316,188,225.793283
7.277295,216,227.651281
26.435587,425,231.136676
17.893265,339,233.962988
3.271884,188,235.671412
1.385377,61,236.424464
2.664721,79,237.330801
2.03751,49,238.070973
11.328006,212,239.886619
1.144488,65,240.763561
2.905198,62,241.538376
2.157385,61,242.379201
3.135246,192,244.083704
6.874207,147,245.443245
8.954324,398,248.511887
3.513811,104,249.603769
1.764034,52,250.329254
3.449829,75,251.270282
24.599514,738,256.632053
3.753185,209,258.384926
2.440854,55,259.154814
6.264738,236,262.129395
2.293471,53,262.894603
1.674662,53,263.663478
12.020423,469,267.213988
3.334344,290,269.593258
6.313528,102,270.606288
1.876606,54,271.400357
7.033456,187,273.076242
10.820759,292,275.435692
3.454554,62,276.229487
4.077493,121,277.421757
11.40388,170,278.958588
12.452955,300,281.385342
4.821818,128,282.687622
8.967727,173,284.248407
5.223085,131,285.48234
7.015592,205,287.292568
5.697502,200,288.984883
5.296597,117,290.197523
18.197777,356,293.122135
2.4327,52,294.001212
8.647251,325,297.019072
12.835459,740,305.437775
13.036798,251,307.980066
1.843516,65,308.964957
2.415923,60,309.872279
4.112728,148,311.410625
6.084392,181,313.249758
1.792101,58,314.327287
1.710259,233,317.115066
10.742694,275,319.921489
5.34002,345,323.180722
7.565933,139,324.63202
1.373255,65,325.533152
7.002985,198,327.400685
4.718116,210,329.341135
15.518007,290,331.810206
27.318704,570,336.330357
15.435959,248,338.51072
18.263623,246,341.854009
5.389304,100,343.000184
13.260089,333,345.855361
12.812238,320,348.598611
11.086465,273,351.087114
3.248982,61,352.060424
3.008876,56,352.913833
15.447696,257,355.336148
2.444233,54,356.202138
8.100875,173,357.891608
1.678904,65,358.762497
3.228172,378,361.994479
14.940848,256,364.282323
26.920896,549,368.764638
5.269733,154,370.295234
15.491321,245,372.46388
12.889956,294,375.028795
17.613038,407,379.442668
2.673733,85,380.536708
9.03764,205,382.552962
4.886665,120,383.886692
25.875328,396,387.16333
15.471202,309,389.8548
40.472499,513,394.061066
2.355845,60,394.904703
1.862436,54,395.694405
11.242419,305,398.403019
5.727352,234,400.560453
17.643465,206,402.559164
4.167236,158,404.096228
39.507247,741,409.947008
18.122835,347,413.300178
14.70934,276,415.87905
11.105413,345,419.789541
11.112823,204,421.697965
5.306892,164,423.330537
9.584652,412,426.746802
6.274937,225,428.778897
5.168877,117,430.047607
3.226545,122,431.326836
7.168445,140,432.785706
15.463134,358,435.844422
9.864895,322,438.577917
14.843868,255,440.861833
5.684727,291,443.36293
7.095776,161,444.994231
17.752051,333,447.827012
12.097085,210,449.748794
6.998943,306,452.384865
5.166537,526,457.765413
21.095405,425,461.39436
17.893266,276,463.835375
23.494133,468,467.705914
10.306413,265,470.048468
