#{"t_start": 1669332111.8025417, "env_id": null}
r,l,t
0.81783,52,2.747738
0.308021,51,6.693213
0.283682,219,12.04089
10.294031,442,21.763893
0.612593,59,24.289688
0.658478,65,26.34825
0.925442,190,30.877935
58.042305,219,35.98364
1.325886,143,39.303174
10.002134,244,44.353514
0.782337,143,47.56902
0.983784,133,50.511573
0.656316,189,54.290714
0.694451,60,56.114822
0.667656,411,63.960207
0.719465,53,65.643715
0.980971,63,67.39375
1.171056,455,75.331621
14.417552,374,81.917661
0.32556,158,84.990636
423.13459,501,95.752263
1.113362,138,98.482268
1.553655,157,101.36887
0.807407,49,102.736854
0.508154,72,104.400869
0.533958,58,105.837395
0.400216,161,108.808556
0.943566,100,110.852142
1.198243,132,113.294274
0.846772,83,115.092623
0.838808,105,117.113977
0.429577,66,118.714607
1.188127,57,120.207606
1.037587,154,122.995888
0.571806,158,126.005216
0.774099,237,130.307434
0.753463,58,131.94242
0.592611,57,133.593739
0.819863,120,136.146505
0.852832,123,138.80117
0.893707,458,146.603235
3.341542,118,149.187481
0.385194,67,151.010279
0.252946,58,153.104691
0.788912,209,157.357996
0.903294,49,159.012481
86.551976,281,164.451198
27.94811,340,170.822642
0.473244,129,173.810548
0.580165,43,175.341618
0.663469,108,177.884485
1.737237,227,184.849277
0.628498,252,189.740861
0.54246,240,194.347713
0.730984,63,196.075095
1.461572,61,197.776024
0.528085,60,199.462453
0.270761,100,201.698316
0.400624,177,205.100516
0.556201,43,206.466867
7.382372,231,210.572171
0.669194,50,212.073011
0.848438,47,213.617125
28.161317,191,217.060441
0.924882,138,219.682497
0.730388,54,221.162257
1.014693,63,222.696553
0.504163,69,224.265333
0.967764,197,227.65116
0.937384,222,231.586644
0.40934,43,232.954367
0.505597,46,234.422618
0.62011,68,236.191997
0.518851,316,241.826407
0.943937,262,246.832468
0.922565,240,251.392498
1.217642,154,254.69043
0.776486,50,256.271861
0.449491,74,258.260884
0.361537,67,260.127731
0.452422,69,262.079767
0.773461,81,264.227587
1.011248,57,266.023107
0.712829,57,267.799909
0.701289,44,269.364318
13.164393,179,276.325137
1.446401,194,280.127743
0.885079,164,283.462185
4.719411,123,286.253793
1.073884,144,289.364554
0.899142,78,291.384662
0.75751,83,293.488099
0.771065,53,295.135219
1.207206,160,298.442316
0.895313,242,303.198133
0.720712,67,305.110831
0.557207,44,306.590816
1.137382,72,308.496115
0.930978,56,310.234814
1.849198,195,314.272104
6.32489,438,322.043374
0.922323,63,323.844059
0.491101,163,327.162532
0.812622,58,328.815432
29.454707,213,333.168851
