#{"t_start": 1669399241.1820152, "env_id": null}
r,l,t
64.159811,552,5.184153
6.65861,55,6.011045
7.107501,46,6.952665
53.958527,264,9.401657
35.791149,227,11.343161
5.3161,46,12.142612
32.079933,211,14.063507
13.695401,108,15.461875
9.546411,52,16.505393
24.174682,148,18.239536
30.772618,160,19.910283
6.272874,43,20.620031
11.515776,58,21.486251
6.136911,63,22.347666
9.087044,69,23.267526
11.420707,55,24.260836
12.856515,64,25.25086
61.268037,659,30.611296
10.201795,55,31.60135
33.213302,184,33.426764
9.49472,76,34.383814
5.907757,49,35.1026
62.392918,449,38.925745
31.838998,239,41.073703
62.238855,380,45.06843
16.327767,84,46.681893
8.474562,42,48.223222
39.089838,244,51.493977
30.521785,183,53.731406
30.725746,380,56.999166
13.34893,100,58.44324
6.495396,60,59.285187
9.595763,52,60.056882
15.753107,89,61.104364
5.528704,55,61.965566
48.158263,306,64.584288
117.523607,539,69.060016
51.201093,489,72.769063
12.126849,61,73.616376
8.388314,44,74.356501
5.409542,52,75.118004
10.375558,69,76.017025
11.010567,64,76.9615
11.272563,57,77.850524
10.820382,56,78.680228
8.089774,61,79.563518
14.489057,92,80.758451
30.952731,183,84.450481
50.643504,266,90.373487
25.416433,184,94.648975
13.194605,57,96.687001
40.240308,264,105.016119
35.733246,258,111.847817
74.911596,515,122.38658
49.526122,275,128.79943
13.261851,60,131.087788
9.009483,65,133.278691
30.172905,305,139.900608
15.135673,69,142.228072
32.212778,232,147.592016
6.424958,40,149.434451
44.590533,240,152.476362
31.043921,170,153.981782
11.416052,72,154.895247
41.729308,207,156.66975
16.130683,87,157.665908
17.973733,98,158.724368
50.226301,331,161.261303
20.619052,128,162.574974
32.623265,258,164.723732
10.383332,55,165.457594
14.197966,136,166.82805
77.497257,470,171.269362
9.65516,51,172.044889
36.733743,189,173.684947
12.679289,61,174.494474
36.16218,178,176.056762
15.657426,125,177.318805
19.476904,131,178.592554
101.120133,562,182.867278
8.780027,48,183.590844
10.336338,63,184.37114
9.760254,55,185.112656
9.154699,59,185.946202
7.331224,44,186.661221
29.480451,193,188.348392
10.63218,55,189.122942
7.867624,62,189.917114
42.572859,225,191.847919
33.578137,243,193.850306
9.817629,67,194.721723
10.882692,57,195.525103
10.395814,49,196.292107
7.785239,46,197.000507
22.493708,182,198.629844
35.335397,205,200.404516
20.72087,174,201.997127
56.091785,335,204.624889
15.285183,72,205.507001
11.432598,63,206.325311
20.492828,139,207.646175
43.074014,307,210.941767
51.499154,342,213.761281
25.864238,172,215.257287
20.940646,150,216.656282
21.665925,147,218.08164
15.112253,68,218.934474
30.629813,208,220.727515
12.380237,61,221.551753
12.214274,55,222.278919
17.890034,92,223.328873
17.005083,84,224.275865
13.710805,69,225.126771
8.507495,54,225.888757
32.444123,204,227.734697
17.296451,85,228.667224
12.057018,59,229.472358
36.754571,194,231.113908
12.56041,59,231.932361
32.938453,216,233.724892
16.293959,124,234.899589
19.635994,120,236.054113
7.966226,50,236.875165
48.490187,258,238.951697
14.829016,106,240.058268
58.418772,312,242.608346
18.896051,90,243.598227
44.1761,212,245.391915
10.464346,54,246.152906
51.45136,332,249.648674
39.985935,292,251.937533
22.974742,181,253.519499
26.076521,154,254.849764
47.830839,216,256.750864
10.571344,58,257.8709
16.073049,246,260.722873
33.186076,233,262.914411
42.177963,257,265.15262
34.928509,363,268.235673
84.194838,450,273.879259
24.653242,164,276.672936
37.501349,200,279.608234
23.444234,173,281.95763
8.095857,59,283.057376
15.863451,144,284.668979
13.641428,64,285.630451
35.410674,255,288.03763
11.248122,54,288.888929
13.057536,57,289.71258
11.320865,68,290.609208
44.943917,376,294.840974
23.464165,172,296.589085
12.62536,71,297.746532
32.993154,245,300.162588
29.509788,204,302.289553
11.329241,54,303.169814
16.460967,67,305.059512
18.578942,102,307.909923
18.918597,93,310.438217
7.844552,46,312.214417
12.169178,62,314.244092
11.364293,51,316.420515
8.396751,46,318.494629
64.233356,556,330.137035
103.901603,608,342.771282
8.398033,58,344.917506
22.671883,196,349.728605
46.662251,291,356.254462
17.081055,80,358.80184
11.495203,57,360.86978
12.641016,59,363.054622
28.021313,156,367.024053
42.797369,365,375.147124
114.318427,437,387.351879
18.484844,125,390.824966
39.103236,309,397.841737
6.225857,63,400.065755
8.362826,44,401.932048
18.039554,134,405.535097
35.169165,234,411.130148
11.057036,61,413.334582
9.883536,48,415.306911
9.614313,57,417.393869
15.837328,203,422.346264
13.754634,86,425.120893
49.46281,271,432.136883
12.906352,57,434.264703
68.893398,502,444.964724
12.160483,53,446.954309
38.750528,250,452.763974
9.733037,56,454.826445
9.552746,54,456.851452
8.86095,44,458.69296
49.452275,324,465.863848
87.57793,462,475.841157
8.750157,52,477.954771
6.664782,54,479.981397
13.155763,61,482.115165
54.140115,457,492.031615
42.930737,236,500.120669
10.464151,70,502.464988
15.828427,75,504.907946
16.021244,70,507.181367
60.666493,286,513.622823
40.245353,217,518.890457
39.962346,214,523.971509
10.716645,59,526.133762
8.219231,49,528.101268
52.383363,270,534.281342
9.009257,59,536.424576
42.872312,285,542.881059
34.843755,140,546.491955
9.247874,57,548.585422
17.781403,99,551.475895
34.264577,198,556.254937
19.949521,106,559.265841
23.462728,238,564.787179
9.007724,62,566.950273
23.343495,124,570.337607
12.095315,64,572.512288
12.536884,59,574.557463
24.993055,129,577.862873
7.78201,71,580.158906
48.059926,310,586.997953
17.477421,113,590.097106
6.722061,49,591.993591
11.385855,64,594.177132
10.920364,60,596.285528
72.375955,509,609.05863
49.183119,376,617.201659
12.098559,57,619.307836
39.479428,198,623.72014
9.698494,53,625.721835
9.314161,51,627.672687
28.014557,255,633.377212
12.190695,91,636.038548
25.344721,159,640.045606
23.110691,170,644.174952
48.539118,279,650.43172
19.63952,110,653.430961
11.364225,51,655.341398
10.071374,51,657.266053
18.028621,100,660.104862
12.239458,65,662.326809
54.68328,371,670.193464
56.016652,258,676.099947
40.811948,204,680.916718
12.53004,60,683.066747
32.227293,210,687.92648
66.277667,369,695.658328
