#{"t_start": 1669409387.4536817, "env_id": null}
r,l,t
71.089083,384,2.830717
37.767924,340,4.967511
15.839388,78,5.785509
4.539043,47,6.399812
27.024486,184,7.748465
9.723988,46,8.375519
11.016176,57,9.038975
42.717884,275,10.905552
9.434292,48,11.560131
9.776578,49,12.18996
9.422098,47,12.798626
9.189857,65,13.507776
41.96964,241,15.163467
17.635715,108,16.098123
33.416055,290,18.003492
10.738672,57,18.647341
9.280691,45,19.249633
10.224993,51,19.8661
11.22117,57,20.533313
12.147009,55,21.178987
11.456072,55,21.831171
24.370343,211,23.68062
9.471727,47,24.538731
12.388419,60,25.376221
11.353116,62,26.236414
69.15342,374,29.164286
46.37229,316,31.275036
37.562858,330,33.371369
50.166738,223,34.886263
36.899544,210,36.431737
14.012443,74,37.18798
6.648276,46,37.804817
92.268129,586,41.342299
9.694776,56,42.029639
9.299413,67,42.765409
13.124198,74,43.509673
13.177067,58,44.181637
9.084876,45,44.789616
64.019788,299,47.354551
24.460714,141,48.492898
53.889313,319,50.611018
57.551714,313,52.898969
13.238205,70,53.956839
70.987815,323,56.438486
15.06693,75,57.241605
88.223739,487,60.363062
9.833262,56,61.115393
63.593169,527,64.378407
71.580471,360,66.660506
11.481351,58,67.321819
10.659093,53,67.953346
5.028936,45,68.580719
11.738342,65,69.296399
20.416857,203,70.807035
7.873388,59,71.483201
56.498456,278,73.384358
34.470667,314,75.492639
23.039281,205,76.938589
11.44162,53,77.574538
13.136699,65,78.272079
82.284006,419,84.413962
43.331299,215,89.553671
67.391236,307,96.539061
11.886857,54,98.095288
14.207139,72,100.083673
10.547466,63,101.788186
40.177507,264,107.729319
49.087902,254,113.537105
50.613247,305,120.631307
33.325651,185,124.855374
77.903614,339,132.584269
64.77519,377,141.08961
9.51094,55,142.654326
22.035166,143,146.13225
13.492325,64,147.955673
11.299769,53,149.503773
32.690578,180,153.826741
11.505514,61,155.536331
10.192272,48,156.984999
17.142467,106,159.708199
13.867158,71,161.630995
15.212326,100,164.177975
6.04835,63,165.977612
18.870979,130,169.180181
8.634405,57,170.838541
21.773963,141,174.213109
13.100453,58,175.858933
17.874043,202,180.564434
14.417871,72,182.486337
11.970215,67,184.32019
10.210219,66,186.093148
8.138589,50,187.578511
12.103847,64,189.303746
11.784249,68,191.152577
15.90825,137,194.527884
26.910803,173,198.593274
4.046255,50,200.048941
10.477947,54,201.60736
12.099879,68,203.497104
35.229287,234,208.794195
45.456642,345,216.633206
8.162533,51,218.069604
10.952248,54,219.602758
9.61197,64,221.354081
9.62996,47,222.794693
74.607468,352,230.488262
9.898886,47,231.848812
10.473774,54,233.437829
68.12202,376,241.61824
32.783454,231,246.916294
17.731635,224,251.957386
10.404992,46,253.352541
10.527252,51,254.794422
12.445226,64,256.542947
6.835846,49,257.916158
5.904161,55,259.407791
17.358383,112,262.067175
12.601751,62,263.72201
10.782461,58,265.385893
28.663802,198,269.784671
9.373539,51,271.25983
9.077248,53,272.674772
6.722317,51,274.111507
21.657267,167,277.961329
19.608398,102,280.480834
13.899355,89,282.771019
5.57773,57,284.290812
13.630901,115,287.104593
31.721175,274,293.003295
6.214447,46,294.298204
9.485435,48,295.721614
11.027983,85,297.809095
8.344356,47,299.179886
10.193619,53,300.678601
32.377959,254,306.237693
11.106691,60,307.864271
7.321184,50,309.301025
8.425206,57,310.955326
8.045256,49,312.36108
19.417312,171,316.233231
7.601084,49,317.61024
5.32159,48,318.943566
10.033596,60,320.558647
24.279581,145,323.892646
12.237495,56,325.555095
11.217115,56,327.098954
10.059487,66,328.810383
27.061367,234,333.897787
11.382134,86,336.055695
8.571462,74,337.962413
5.141427,53,339.39944
12.800684,121,342.247845
12.071383,97,344.582148
7.939629,80,346.618608
5.619552,42,347.941681
7.550598,48,349.282678
4.682648,45,350.657398
7.064769,50,352.090365
23.658899,198,356.494053
5.292109,45,357.767994
8.054638,67,359.462783
14.177601,253,365.125304
48.706655,296,371.481248
30.725193,167,375.343482
13.270394,71,377.505195
12.782576,115,382.726734
6.961048,46,385.309154
3.574354,40,387.19552
6.578434,45,388.977233
7.089517,43,390.713161
3.706183,42,392.305394
5.671479,49,393.950591
19.579861,147,398.074351
12.08097,72,400.360764
4.796699,46,402.038659
6.309994,62,403.853096
13.539034,81,405.924634
25.558238,200,411.166261
9.432863,55,413.071953
32.387524,264,419.739955
7.664565,52,421.401899
5.633209,45,422.857522
13.333111,79,425.154708
8.529676,46,426.630095
7.978717,45,428.132742
7.975253,43,429.585308
7.275089,43,431.083623
6.278359,44,432.490529
9.163222,47,433.936652
5.594303,52,435.506642
5.258131,48,437.050082
4.147286,49,438.606246
8.125149,45,439.988343
20.57187,93,442.393299
3.649053,47,443.817452
22.806759,163,447.824114
8.997736,49,449.332038
20.374585,122,452.435561
14.685434,68,454.294613
24.880454,164,458.170339
11.737438,111,460.95764
6.760623,47,462.354424
7.393927,47,463.783245
11.771671,61,465.441633
13.242755,77,467.42183
9.675401,51,468.83086
12.018933,75,470.773298
16.869243,125,473.636413
16.462057,95,475.98948
4.837811,49,477.434343
11.996808,83,479.466579
12.972196,122,482.448678
9.350564,48,483.822624
15.187028,80,485.943438
7.494457,63,487.646461
9.837692,83,489.788595
22.858591,153,493.598592
17.336518,108,496.304708
21.986443,152,500.245069
15.418395,105,502.950867
8.306241,46,504.361395
9.442734,84,506.708003
18.917284,140,510.32018
20.755855,175,514.680336
8.325362,49,516.308838
7.30047,49,517.810013
17.578558,106,520.654766
6.147394,41,522.015476
19.981369,127,525.494456
8.53011,48,527.02048
7.468433,50,528.638314
14.474612,73,530.897795
20.078973,96,533.558868
9.257363,47,535.169726
8.734507,52,536.962135
5.423514,51,538.664551
12.147332,151,542.783722
8.543642,46,544.362029
10.645438,56,546.256228
29.726465,247,552.686968
24.013642,168,557.26144
6.530494,69,559.323009
13.156596,66,561.413581
17.548248,129,564.76933
9.010454,48,566.26194
16.534458,96,568.753504
8.391133,55,570.50669
7.922546,45,571.949645
7.984866,44,573.34437
8.791004,57,575.005782
15.340925,141,578.47933
7.862527,51,580.102679
8.650651,53,581.786054
7.832844,55,583.324809
13.728636,100,585.959886
17.427263,101,588.583886
8.055618,52,590.119062
5.698349,50,591.551393
12.016117,93,593.787887
46.135081,234,599.405066
5.177539,45,601.433097
5.509038,45,603.224475
14.885335,96,605.923234
19.949204,111,608.700736
15.485388,144,612.574502
29.468982,211,617.700865
22.85129,125,621.071459
16.793206,135,624.543871
11.900579,53,626.237055
10.723747,51,627.876152
14.763047,65,629.703479
27.151613,289,637.053886
13.844495,65,639.042604
48.614103,254,645.684061
15.818612,140,649.749979
22.044622,183,654.70656
15.756619,125,658.273637
20.003853,135,662.089302
26.428794,140,665.318403
13.972432,151,668.797871
8.434534,71,670.62221
20.680076,149,674.068441
10.379091,59,675.676236
20.728825,103,678.216045
22.870251,154,681.804692
35.293481,190,685.997481
53.136074,614,699.11425
14.669535,143,702.552492
28.771509,204,707.169803
31.589809,238,712.415163
8.056498,87,714.581298
41.714938,298,721.072498
19.334463,185,725.23955
10.183558,103,727.778828
19.692163,131,730.834261
41.739224,281,737.119072
9.213615,74,738.976008
25.067075,157,742.647118
24.196934,197,747.151759
9.123216,103,749.710641
10.480922,61,751.403799
14.853481,119,754.233625
28.883712,225,759.244332
33.133071,289,765.61055
89.704847,666,779.793524
45.016538,314,786.680702
9.054922,63,788.395585
9.072487,62,790.182862
9.467724,54,791.686353
13.686313,84,793.97951
7.669296,66,795.702055
11.918795,65,797.392995
7.279995,45,798.706689
7.994979,59,800.351428
16.144127,90,802.57746
