#{"t_start": 1669502146.7152545, "env_id": null}
r,l,t
65.437114,516,134.714305
16.793636,133,176.697581
12.75881,62,202.659824
28.904932,223,261.386729
11.290137,71,285.746058
44.871577,351,374.616019
10.779575,57,398.485829
27.533184,214,459.35844
9.610082,58,484.705615
38.756805,232,549.215755
47.194122,290,627.666916
58.767866,336,714.02233
33.468131,258,782.143407
8.666235,52,807.282941
49.3783,230,871.115374
8.035845,48,893.378867
12.56013,58,919.174997
17.959758,147,962.679619
16.754745,157,1003.794811
14.027851,77,1030.159325
110.321994,563,1166.534011
52.81098,353,1244.181055
73.099577,739,1446.014319
8.782217,54,1476.365559
11.539392,63,1509.596657
12.302379,57,1541.472204
156.365672,776,1769.568498
30.18123,179,1836.534333
39.954823,297,1935.044123
12.394849,67,1968.970902
8.010075,69,2002.650148
108.520614,639,2203.71845
35.512702,248,2267.686069
9.212402,48,2296.100298
10.789807,56,2327.814845
10.673257,58,2359.263512
8.340825,47,2387.296368
27.483325,175,2452.308285
9.959681,56,2483.415044
10.519968,56,2514.610217
9.029212,74,2551.294571
10.706771,66,2585.145091
8.819851,49,2613.429619
12.238201,75,2650.751267
31.791991,214,2729.150413
11.506614,65,2763.573174
10.837226,59,2795.38261
5.797945,48,2822.155547
119.725466,496,2979.334467
11.967504,57,3010.965948
7.547678,48,3039.44235
55.595437,320,3148.197376
10.971035,61,3179.620726
10.30397,51,3209.440463
8.790488,59,3241.098118
11.050918,62,3273.244866
37.405921,342,3308.398912
20.37157,151,3328.860603
8.387445,44,3345.439942
54.124983,398,3376.926688
10.160008,73,3394.924734
12.833979,71,3412.397119
17.533742,129,3432.420705
17.31229,92,3450.209258
10.65528,54,3466.574116
18.341394,86,3484.05033
15.156423,80,3502.018447
7.290513,44,3518.38304
19.77742,146,3538.923401
16.301503,79,3556.959334
15.333696,112,3575.855357
9.740695,64,3592.893912
9.779152,50,3609.737812
12.530576,64,3627.103826
7.271587,57,3644.207909
9.973027,51,3661.232056
13.341417,85,3679.622123
9.104953,50,3696.405871
16.209139,103,3715.654674
11.501073,57,3732.935252
14.160302,80,3751.105907
38.906009,227,3774.840876
26.423072,223,3799.212043
9.301645,54,3816.137406
11.140924,56,3833.29332
6.647954,45,3849.82366
40.776105,355,3879.24498
11.617524,68,3896.460047
17.098232,102,3916.043294
36.490024,342,3944.846195
8.893025,62,3961.745451
9.705865,54,3978.874653
21.195475,121,3997.764019
8.580936,55,4014.310043
5.620904,51,4030.929214
52.437627,360,4060.778333
4.932589,49,4077.275161
8.718299,57,4094.48462
8.755237,49,4110.768238
28.6349,281,4137.348882
37.338484,238,4161.916188
5.55407,53,4178.563353
9.85793,49,4194.543747
11.464649,63,4211.74498
17.530199,151,4232.533769
13.826136,68,4249.639502
7.074145,46,4266.713694
3.935774,59,4283.596075
15.600341,98,4302.074788
7.225612,48,4318.865248
17.309695,287,4345.611934
20.227769,137,4365.66388
11.392657,76,4383.074053
27.359906,143,4403.345052
8.960249,74,4420.847562
4.231114,45,4437.1594
5.960132,51,4454.26958
15.936179,133,4474.013616
30.053932,278,4499.696703
7.405793,49,4516.526035
33.191659,331,4544.322902
3.323831,47,4560.59531
6.998877,48,4577.213345
6.606533,62,4594.868182
7.855716,54,4611.18643
9.232626,82,4629.459089
15.540361,89,4647.73297
8.928355,69,4665.307275
5.029026,67,4682.143544
25.492483,244,4706.974532
39.588211,339,4735.949936
9.995717,60,4753.151357
9.104674,61,4769.608943
14.526757,132,4789.49555
7.746185,63,4806.58255
6.040126,54,4822.570036
7.303384,56,4839.457019
4.740811,66,4856.512962
10.504348,97,4875.157703
8.082641,48,4891.933074
30.393615,192,4914.5381
16.186215,167,4936.349527
11.932025,67,4953.735159
21.075944,171,4975.299337
20.337913,120,4994.756124
7.318647,67,5012.103816
8.697323,60,5029.140737
3.748363,43,5045.752223
3.570666,50,5062.15559
9.638733,54,5078.228735
33.758599,267,5103.502169
5.906811,65,5120.677052
8.418899,51,5138.076264
9.094687,63,5154.732219
28.890945,175,5176.95865
21.517969,162,5198.418633
10.099206,132,5218.517321
18.896127,163,5239.286196
14.282249,141,5259.731538
29.796982,207,5282.519132
29.213802,277,5309.077297
7.755976,50,5325.707937
25.805605,296,5352.624801
7.17992,56,5369.416506
9.306125,68,5386.463345
18.360008,138,5406.505033
6.146355,68,5423.670709
31.758126,363,5453.162771
7.407954,63,5470.616765
8.844105,64,5487.643835
24.102389,148,5507.809844
7.579022,57,5524.746768
10.92054,57,5540.747715
4.74752,51,5557.71207
9.758369,57,5574.102334
8.932229,56,5591.160315
9.120969,53,5608.202737
6.334134,55,5624.846078
7.197869,53,5641.281736
24.251115,202,5664.043814
8.854989,54,5680.483322
4.998086,45,5695.172258
19.014378,122,5714.972179
4.328306,48,5731.664476
7.959222,55,5748.743601
8.024703,65,5766.028727
6.616697,52,5782.80669
4.695786,42,5799.169275
11.015968,62,5816.117493
19.50599,208,5838.929208
8.815565,59,5856.492683
6.60625,50,5872.447901
4.112703,47,5889.78032
6.043905,49,5906.750095
28.353827,166,5928.608752
5.781912,47,5945.152482
4.050252,46,5961.445112
9.756387,61,5978.331521
8.919833,56,5994.620232
19.123044,275,6019.644215
12.520029,85,6037.793732
10.970803,66,6054.273211
12.979571,117,6074.203816
7.831689,66,6091.436126
8.257614,70,6108.951337
22.548996,165,6130.061582
4.765241,50,6146.426769
9.174789,63,6163.394066
5.724336,46,6179.947713
14.826376,160,6201.045778
9.43459,145,6221.912107
17.96644,115,6241.383817
24.273832,163,6262.56966
20.199353,251,6286.93464
12.346256,105,6305.792238
10.856461,65,6323.200693
8.146873,67,6341.151872
11.784938,70,6358.787508
7.393461,65,6376.154438
8.046691,71,6393.305979
9.908837,75,6411.230661
25.14446,286,6437.278993
11.466146,64,6454.550582
14.489509,104,6473.53435
16.081188,139,6494.168181
6.789785,75,6511.849024
10.890161,59,6528.450976
9.76671,77,6545.291317
20.469505,177,6567.240218
7.340009,67,6584.525466
17.769054,145,6605.71971
12.043946,76,6623.198136
8.547669,64,6640.351669
19.198918,187,6661.901939
15.091184,79,6679.827407
10.71389,63,6696.977247
10.067701,62,6713.983024
19.650862,137,6734.401898
11.129953,69,6751.813535
9.725038,144,6772.452123
31.040484,187,6794.773274
9.079607,71,6813.287516
28.362688,164,6834.86604
24.279463,178,6856.996036
10.308546,66,6873.79953
12.787293,107,6892.602619
13.759318,107,6911.417853
42.816771,270,6936.656792
16.62277,98,6955.232579
12.95581,94,6973.808147
7.087689,62,6990.916485
10.440212,57,7008.339301
17.034208,123,7028.337487
14.604593,109,7047.22137
20.487773,130,7067.07709
8.063603,70,7084.440122
38.042878,226,7107.265152
18.56616,131,7127.39989
11.899253,81,7145.123935
10.4817,60,7162.383153
11.665579,105,7180.576308
12.585488,73,7197.394498
7.645607,47,7214.145547
25.377454,217,7237.760295
14.279391,96,7256.144442
12.08503,70,7273.176307
13.362907,86,7291.172179
13.391943,118,7310.067377
26.356631,150,7329.810846
54.091554,467,7363.010652
18.988088,168,7384.522832
9.551001,65,7401.796376
25.935593,241,7426.095001
45.958004,309,7453.366795
8.359085,89,7471.09899
48.028545,404,7501.688674
48.680028,264,7526.491036
11.175551,67,7543.439288
52.042375,296,7569.248811
8.970695,53,7585.150318
14.647599,104,7603.411027
18.171514,209,7625.689011
7.513427,67,7642.23454
10.888393,56,7658.914562
19.135453,154,7679.206986
25.519884,204,7701.416696
11.540349,64,7717.813564
20.737428,154,7738.003433
8.909007,85,7755.159227
11.37664,71,7772.020157
14.363735,176,7793.030654
36.142608,429,7824.783471
28.253798,233,7848.108867
35.381364,278,7873.826749
12.716813,158,7894.229266
17.032802,210,7916.822016
17.534655,90,7934.276279
27.115675,211,7957.145498
26.779248,256,7981.626468
25.630534,238,8005.746292
51.991965,492,8040.48832
18.487204,132,8060.123346
25.11331,168,8080.493996
15.595145,154,8100.344143
55.48435,426,8130.937791
5.862652,47,8147.074589
